"","Breakpoint","Estimated_Point","estimated_point_std_error","number_schools","numer_period","outcome"
"84",999,0.10111380059712,0.00165122734455536,12120,10,"NO_STUDIES"
"85",0.0426,-0.188109039955735,0.0504418780198464,498,10,"NO_STUDIES"
"86",0.1258,-0.043210733412861,0.0210639544936404,1913,10,"NO_STUDIES"
"87",0.209,-0.00893782114691702,0.00981680731076243,4335,10,"NO_STUDIES"
"88",0.2922,0.0242427552672661,0.00538083533922754,6913,10,"NO_STUDIES"
"89",0.3754,0.0638720524254505,0.00374330775361917,7828,10,"NO_STUDIES"
"90",0.4586,0.0990393232422696,0.00304479226716998,9528,10,"NO_STUDIES"
"91",0.5418,0.123722536003131,0.00361683763100443,8018,10,"NO_STUDIES"
"92",0.625,0.162298809506855,0.00489957815669353,7132,10,"NO_STUDIES"
"93",0.7082,0.203593507448609,0.00721736234620099,5927,10,"NO_STUDIES"
"94",0.7914,0.226892109568765,0.0129568170373461,3272,10,"NO_STUDIES"
"95",0.8746,0.247268898207008,0.0233352819589509,1544,10,"NO_STUDIES"
"96",0.9576,0.126144825981,0.0528741638133945,321,10,"NO_STUDIES"
"97",999,0.390865751681032,0.00973507622531541,12120,10,"MEDICINE"
"98",0.05645,0.261837030360425,0.193232445677036,834,10,"MEDICINE"
"99",0.16735,0.333961160115804,0.0768824905641883,3232,10,"MEDICINE"
"100",0.27825,0.355578940979288,0.0321839523502785,7089,10,"MEDICINE"
"101",0.38915,0.430054723699876,0.020107778473766,8536,10,"MEDICINE"
"102",0.50005,0.465040680443969,0.0181736636725293,9062,10,"MEDICINE"
"103",0.61095,0.543515158672112,0.0231391269492123,8338,10,"MEDICINE"
"104",0.72185,0.563344686186445,0.0383368891366084,6125,10,"MEDICINE"
"105",0.83275,0.753079808134192,0.0768492606722019,2489,10,"MEDICINE"
"106",0.9436,1.06816124200042,0.173536342942973,622,10,"MEDICINE"
"107",999,0.230698183479491,0.00804710264698687,12120,10,"LAW"
"108",0.0509,0.113948163284337,0.182099750789229,685,10,"LAW"
"109",0.1507,0.0214281486106967,0.0728457081530649,2665,10,"LAW"
"110",0.2505,0.250347838651474,0.0352777262850247,5529,10,"LAW"
"111",0.3503,0.287246973437944,0.0200817924206079,8165,10,"LAW"
"112",0.4501,0.31843612247608,0.0165392869482773,8113,10,"LAW"
"113",0.5499,0.311823412028822,0.0162873417255913,9151,10,"LAW"
"114",0.6497,0.360159459400997,0.0241887513816794,7631,10,"LAW"
"115",0.7495,0.32535850785149,0.0432612357147264,4372,10,"LAW"
"116",0.8493,0.306586577514398,0.0768505044416187,2086,10,"LAW"
"117",0.9491,0.434645516976448,0.186807828817016,479,10,"LAW"
